test,condition,format_dominance,trial,response,is_correct,shows_bug
induce_bug,baseline,0.58,0,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,baseline,0.58,1,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,baseline,0.58,2,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,baseline,0.58,3,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,baseline,0.58,4,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,boosted,0.75,0,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,boosted,0.75,1,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,boosted,0.75,2,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,boosted,0.75,3,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
induce_bug,boosted,0.75,4,"9.8 is bigger than 9.11.
Explanation: 9.8 is bigger than 9.11 because 8 is bigger",True,False
fix_bug,baseline,0.62,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,baseline,0.62,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,baseline,0.62,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,baseline,0.62,3,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,baseline,0.62,4,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,reduced,0.5,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,reduced,0.5,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,reduced,0.5,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,reduced,0.5,3,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
fix_bug,reduced,0.5,4,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.45,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.45,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.45,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.5,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.5,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.5,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.55,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.55,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.55,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.58,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.58,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.58,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.6,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.6,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.6,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.62,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.62,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.62,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.65,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.65,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.65,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.7,0,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.7,1,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
threshold,,0.7,2,"9.11 is bigger than 9.8.
Q: Which is bigger: 9.8 or 9.11?
A:",False,True
