head_idx,begin_attention_simple,begin_attention_qa,begin_attention_diff,simple_correct,qa_correct,shows_bug_fix_pattern
0,0.5224609375,0.498779296875,0.023681640625,True,False,False
1,0.62060546875,0.48583984375,0.134765625,True,False,True
2,0.923828125,0.8896484375,0.0341796875,True,False,False
3,0.92041015625,0.8603515625,0.06005859375,True,False,False
4,0.84814453125,0.7880859375,0.06005859375,True,False,False
5,0.85107421875,0.71337890625,0.1376953125,True,False,True
6,0.8857421875,0.837890625,0.0478515625,True,False,False
7,0.84521484375,0.8544921875,-0.00927734375,True,False,False
8,0.68310546875,0.50732421875,0.17578125,True,False,True
9,0.6611328125,0.420654296875,0.240478515625,True,False,True
10,0.74462890625,0.5712890625,0.17333984375,True,False,True
11,0.7783203125,0.58056640625,0.19775390625,True,False,True
12,0.947265625,0.83837890625,0.10888671875,True,False,True
13,0.43212890625,0.26416015625,0.16796875,True,False,True
14,0.71533203125,0.56591796875,0.1494140625,True,False,True
15,0.498046875,0.458251953125,0.039794921875,True,False,False
16,0.740234375,0.63427734375,0.10595703125,True,False,True
17,0.6396484375,0.35595703125,0.28369140625,True,False,True
18,0.289794921875,0.1573486328125,0.1324462890625,True,False,True
19,0.830078125,0.685546875,0.14453125,True,False,True
20,0.74755859375,0.658203125,0.08935546875,True,False,False
21,0.86669921875,0.67724609375,0.189453125,True,False,True
22,0.91015625,0.8935546875,0.0166015625,True,False,False
23,0.82080078125,0.6494140625,0.17138671875,True,False,True
24,0.342529296875,0.21728515625,0.125244140625,True,False,True
25,0.6640625,0.51171875,0.15234375,True,False,True
26,0.712890625,0.74609375,-0.033203125,True,False,False
27,0.468994140625,0.102294921875,0.36669921875,True,False,True
28,0.85205078125,0.775390625,0.07666015625,True,False,False
29,0.8271484375,0.75244140625,0.07470703125,True,False,False
30,0.70751953125,0.5283203125,0.17919921875,True,False,True
31,0.95068359375,0.953125,-0.00244140625,True,False,False
