method,setting,n,strict_secure_rate,strict_insecure_rate,strict_other_rate,expanded_secure_rate,expanded_insecure_rate,expanded_other_rate,refusal_rate
M1_mean_diff,0.0,315,0.01904761904761905,0.9428571428571428,0.0380952380952381,0.02857142857142857,0.8634920634920635,0.10793650793650794,0.0
M1_mean_diff,0.5,315,0.022222222222222223,0.9428571428571428,0.03492063492063492,0.0380952380952381,0.8285714285714286,0.13333333333333333,0.0
M1_mean_diff,1.0,315,0.06031746031746032,0.8952380952380953,0.044444444444444446,0.06031746031746032,0.8253968253968254,0.11428571428571428,0.0
M1_mean_diff,1.5,315,0.09206349206349207,0.8666666666666667,0.04126984126984127,0.09841269841269841,0.8222222222222222,0.07936507936507936,0.0
M1_mean_diff,2.0,315,0.19047619047619047,0.7714285714285715,0.0380952380952381,0.19047619047619047,0.7301587301587301,0.07936507936507936,0.0
M1_mean_diff,2.5,315,0.2761904761904762,0.6730158730158731,0.050793650793650794,0.27936507936507937,0.638095238095238,0.08253968253968254,0.0
M1_mean_diff,3.0,315,0.4857142857142857,0.4380952380952381,0.0761904761904762,0.49523809523809526,0.4158730158730159,0.08888888888888889,0.0
M1_mean_diff,3.5,315,0.526984126984127,0.2698412698412698,0.20317460317460317,0.5301587301587302,0.2634920634920635,0.20634920634920634,0.0
M2a_sae_L31_1895,+1.0σ,315,0.025396825396825397,0.926984126984127,0.047619047619047616,0.031746031746031744,0.8571428571428571,0.1111111111111111,0.0
M2a_sae_L31_1895,+2.0σ,315,0.006349206349206349,0.9365079365079365,0.05714285714285714,0.012698412698412698,0.8539682539682539,0.13333333333333333,0.0
M2a_sae_L31_1895,+3.0σ,315,0.006349206349206349,0.946031746031746,0.047619047619047616,0.006349206349206349,0.8634920634920635,0.13015873015873017,0.0
M2b_sae_L30_10391,+1.0σ,315,0.012698412698412698,0.9492063492063492,0.0380952380952381,0.012698412698412698,0.8793650793650793,0.10793650793650794,0.0
M2b_sae_L30_10391,+2.0σ,315,0.01904761904761905,0.9301587301587302,0.050793650793650794,0.022222222222222223,0.8666666666666667,0.1111111111111111,0.0
M2b_sae_L30_10391,+3.0σ,315,0.01904761904761905,0.9238095238095239,0.05714285714285714,0.022222222222222223,0.8476190476190476,0.13015873015873017,0.0
M3a_sae_top5,+1.0σ,315,0.02857142857142857,0.9333333333333333,0.0380952380952381,0.031746031746031744,0.8634920634920635,0.10476190476190476,0.0
M3a_sae_top5,+2.0σ,315,0.009523809523809525,0.946031746031746,0.044444444444444446,0.009523809523809525,0.9015873015873016,0.08888888888888889,0.0
M3a_sae_top5,+3.0σ,315,0.015873015873015872,0.9333333333333333,0.050793650793650794,0.01904761904761905,0.8444444444444444,0.1365079365079365,0.0
M3b_sae_top10,+1.0σ,315,0.012698412698412698,0.9206349206349206,0.06666666666666667,0.015873015873015872,0.8571428571428571,0.12698412698412698,0.0
M3b_sae_top10,+2.0σ,315,0.01904761904761905,0.946031746031746,0.03492063492063492,0.01904761904761905,0.8857142857142857,0.09523809523809523,0.0
M3b_sae_top10,+3.0σ,315,0.022222222222222223,0.926984126984127,0.050793650793650794,0.022222222222222223,0.8761904761904762,0.10158730158730159,0.0
